,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
447,2017-04-30,totumo,-92.7948250534188,,-0.0444393268991495,1.6739207808663965,99.93451211525868,0.15999999999999992,Neutral
448,2017-05-31,totumo,-80.0031583867521,,0.0055335073074352,1.8287838733800756,100.0,0.43999999999999995,Neutral
450,2017-07-31,totumo,26.50000000000001,,0.0182830368139014,5.780312972852926,99.60707269155206,0.5799999999999998,Neutral
453,2017-10-31,totumo,176.83333333333334,,0.014957871356417,-5.541596271786727,63.261296660117885,0.9399999999999998,Nina
454,2017-11-30,totumo,87.87500000000003,,0.0584873117924017,-5.715428933007658,44.335297969875576,1.1199999999999999,Nina
455,2017-12-31,totumo,147.41666666666669,,0.0493264315186454,-1.096815121971673,99.86902423051735,0.7599999999999999,Nina
456,2018-01-31,totumo,73.45833333333336,,0.0278768345762732,1.8259214814597016,94.36804191224624,0.9399999999999998,Nina
457,2018-02-28,totumo,-68.79166666666664,,-0.0160047375536828,-0.3024328967365619,99.27963326784544,0.7999999999999998,Nina
458,2018-03-31,totumo,-59.29166666666666,,-0.0957006109348683,-4.280523269701536,97.38048461034708,0.96,Nina
459,2018-04-30,totumo,-96.0,,-0.0866496848825741,5.034686956659662,99.21414538310412,0.5599999999999998,Nina
461,2018-06-30,totumo,-26.5,,0.0312874416268305,1.3765512025794775,55.075311067452525,0.21999999999999983,Neutral
462,2018-07-31,totumo,-6.625,,-0.0438743198881611,-7.476745771319393,20.23575638506876,-0.24000000000000016,Neutral
463,2018-08-31,totumo,-72.74999999999999,,0.0216316073654542,5.614809122092339,93.1237721021611,-0.24000000000000013,Nino
466,2018-11-30,totumo,67.08333333333334,,0.0465772609561253,-4.150773124120612,100.0,0.11999999999999982,Nino
467,2018-12-31,totumo,175.45833333333334,,0.0766452438600096,-1.4865860293323865,99.60707269155206,-0.040000000000000126,Nino
468,2019-01-31,totumo,32.29166666666667,,0.0221003151211819,-3.0346262536920463,99.21414538310412,-0.2600000000000001,Nino
469,2019-02-28,totumo,-74.83333333333334,,-0.0011519497287316,-3.2199246213857577,99.01768172888016,-0.2000000000000001,Nino
470,2019-03-31,totumo,-76.79166666666666,,-0.0585967486870594,-0.8506476190664642,99.34512115258676,-0.68,Nino
